Name,Nation,Club,Position,Age,Overall
Salem Al Najdi,Saudi Arabia,Al Fateh,LB,20,55
Mohammed Al Yami,Saudi Arabia,Al Shabab,CDM,21,55
Victor Andersson,Sweden,AIK,LM,18,55
Devin Angleberger,Germany,Fürth,CM,20,55
Alexander Aoraha,Iraq,QPR,CM,20,55
Nathan Asiimwe,Uganda,Charlton Ath,RB,18,55
Ali Auglah,Australia,Macarthur FC,RM,21,55
Taha Ayari,Sweden,AIK,LM,18,55
Alex Badolato,Australia,WS Wanderers,CAM,18,55
Reed Baker-Whiting,United States,Sounders FC,RWB,18,55
Kofi Balmer,Northern Ireland,Port Vale,CB,23,55
Cian Bargary,Republic of Ireland,Cork City,RM,22,55
Vincy Barretto,India,Chennaiyin FC,RM,23,55
Kaare Barslund,Denmark,FC Nordsjælland,CB,19,55
Bryant Bilongo,England,Middlesbrough,LB,22,55
Scott Bitsindou,Congo,Livingston,CDM,27,55
Noah Blasucci,Switzerland,Grasshopper Club,ST,24,55
Luca Bolay,Germany,SV Waldhof,LB,21,55
Alex Bonetig,Australia,WS Wanderers,CB,21,55
Gary Boylan,Republic of Ireland,Sligo Rovers,RB,27,55
Rhys Bozinovski,Australia,Western United,CDM,19,55
Seán Brennan,Republic of Ireland,UCD AFC,CM,22,55
Mark Byrne,Republic of Ireland,Sligo Rovers,CAM,23,55
Ciprian Călugăr,Romania,FC Univ. Cluj,LB,19,55
Iulian Codrin Cărăușu,Romania,FC Botoșani,RW,18,55
Theo Chapman,England,Barnsley,CAM,18,55
Pratik Chaudhari,India,Jamshedpur FC,CB,34,55
Cheng Changcheng,China PR,Changchun Yatai,ST,32,55
Cho Jae Hun,Korea Republic,Pohang Steelers,LM,20,55
Ionuț Cojocaru,Romania,Farul Constanța,RW,20,55
George Cooper,England,Mansfield Town,CB,20,55
Dominic Corness,England,Yverdon Sport FC,CM,20,55
Brandan Craig,United States,Austin FC,CB,19,55
Rasmus Cronvall,Sweden,Varbergs BoIS,ST,21,55
Cui Ming'an,China PR,Dalian Pro,CM,28,55
Noah De Queiroz,Switzerland,FC Lugano,CB,20,55
Chris Donnell,Australia,Fulham,CM,19,55
Djovkar Doudaev,Belgium,RWD Molenbeek,CB,19,55
Erik Dueñas,Mexico,LAFC,CM,18,55
Courtney Duffus,Republic of Ireland,Barrow,ST,27,55
Luke Duzel,Australia,Adelaide United,CM,21,55
Jamie Egan,Republic of Ireland,Drogheda United,CB,20,55
Ramiro Eguez,Bolivia,Blooming,ST,19,55
Tope Fadahunsi,England,Sutton United,ST,24,55
Danish Farooq,India,Kerala Blasters,CAM,27,55
Alexander Fesshaie,Sweden,AIK,ST,19,55
James Gale,England,Mansfield Town,ST,21,55
Christian Gammelgaard,Denmark,Vejle Boldklub,RM,20,55
Samuel Garzón,Bolivia,Blooming,ST,24,55
Shahzat Ghojaehmet,China PR,Shenzhen FC,LW,17,55
Ian Godoy,Chile,Audax Italiano,CM,20,55
Leonard Grob,Germany,Unterhaching,CDM,20,55
Jonas Häkkinen,Finland,Cork City,CB,24,55
Rayan Hamed,Saudi Arabia,Al Ahli,CB,21,55
Calvin Harris,England,Colorado Rapids,LM,23,55
He Zhenyu,China PR,Changchun Yatai,RW,22,55
Fritiof Hellichius,Sweden,IFK Norrköping,CM,20,55
Aaron Henry,England,Crawley Town,CM,20,55
Selmin Hodza,Switzerland,FC Zürich,RWB,20,55
Jannik Hofmann,Germany,1. FC Nürnberg,RB,21,55
Louie Holzman,England,Bohemian FC,CB,19,55
De Pievre Ilunga,Sweden,Degerfors IF,CM,17,55
Luca Jaquez,Switzerland,FC Luzern,CB,20,55
Romario Jesuraj,India,Chennaiyin FC,RM,27,55
Cody Johnson,England,Stockport,CM,19,55
Kaedyn Kamara,England,Preston,CM,17,55
Daniel Kanu,England,Charlton Ath,ST,18,55
Hisham Kasimu,France,Sutton United,ST,26,55
Gene Kennedy,England,Colchester,CDM,20,55
Brandon Khela,England,Birmingham City,CAM,18,55
Kim Min Seok,Korea Republic,Incheon United,LW,21,55
Kim Ji Hoon,Korea Republic,Daejeon Citizen,RWB,23,55
Filip Kocaba,Poland,Zagłębie Lubin,CDM,18,55
Krzysztof Kolanko,Poland,Górnik Zabrze,LM,17,55
Rohit Kumar,India,Bengaluru FC,CDM,26,55
Bertram Kvist,Denmark,Brøndby IF,CAM,18,55
Kwak Seung Min,Korea Republic,Jeju United,ST,18,55
Lalchungnunga,India,East Bengal,CB,22,55
Jake Leake,England,Tranmere Rovers,LB,20,55
Kameron Ledwidge,Republic of Ireland,Shelbourne,CB,22,55
Lee Geon Hee,Korea Republic,GwangJu FC,ST,25,55
Lee Jong Hyun,Korea Republic,Daejeon Citizen,RWB,26,55
Liu Zhurun,China PR,Shanghai Port,ST,22,55
Liu Xinyu,China PR,Cangzhou FC,RM,31,55
Klaidi Lolos,Greece,Crawley Town,ST,23,55
Nathan Lowe,England,Stoke City,ST,18,55
Jakub Lutostański,Poland,Śląsk Wrocław,ST,19,55
Ayom Majok,South Sudan,Brisbane Roar,ST,20,55
Jovon Makama,England,Lincoln City,ST,19,55
Aiden Marsh,England,Barnsley,ST,20,55
Valpuia,India,Mumbai City FC,CB,23,55
Henrik Molvær Melland,Norway,Aalesunds FK,CM,18,55
Jean Baptiste Mendy,Senegal,Univ. Craiova,CB,20,55
Jevon Mills,Republic of Ireland,Hull City,CB,20,55
Bryce Miranda,India,Kerala Blasters,LM,24,55
Hazem Mohammed,United Arab Emirates,Al Ain FC,RM,18,55
Hira Mondal,India,NorthEast United,LB,27,55
Gustav Mortensen,Denmark,Lyngby BK,LWB,19,55
Szczepan Mucha,Poland,Piast Gliwice,ST,19,55
Irsan Muric,Belgium,KVC Westerlo,ST,18,55
Drew Murray,United States,SC Freiburg II,CB,17,55
Kiyan Nassiri,India,ATK Mohun Bagan,ST,22,55
Harvey Neville,Republic of Ireland,Inter Miami CF,RB,21,55
Kieran Ngwenya,Malawi,Aberdeen,LWB,21,55
Niu Ziyi,China PR,Henan SSLM FC,LB,24,55
Kristoffer S. Ødven,Norway,Aalesunds FK,CM,21,55
Tani Oluwaseyi,Nigeria,Minnesota United,ST,23,55
Mohamed Ouédraogo,Burkina Faso,SCR Altach,LWB,20,55
Michał Ozga,Poland,Jagiellonia,CB,23,55
Isaiah Parente,United States,Columbus Crew,CAM,23,55
Park Chang Woo,Korea Republic,Jeonbuk Hyundai,RB,20,55
Rafferty Pedder,England,QPR,CM,20,55
Charlie Pegrum,England,Leyton Orient,RM,18,55
Ethan Pye,England,Stockport,CB,20,55
Andreas Pyndt,Denmark,Silkeborg IF,CM,22,55
Mihnea Rădulescu,Romania,FC Petrolul,RW,18,55
Elmin Rastoder,Switzerland,Grasshopper Club,ST,22,55
Princeton Rebello,India,Odisha FC,CDM,24,55
Will Richmond,United States,SJ Earthquakes,LM,23,55
Kyle Robinson,Republic of Ireland,Drogheda United,ST,20,55
Alexis Rodas,Paraguay,Gral. Caballero,RM,26,55
Alan Rodriguez,Switzerland,Yverdon Sport FC,CM,21,55
Alberson Rodríguez,Venezuela,Monagas SC,CM,19,55
Juan Manuel Romero,Paraguay,Olimpia,ST,22,55
Imari Samuels,England,Brighton,LB,20,55
Lauge Sandgrav,Denmark,Lyngby BK,CM,19,55
Mathias Dahl Sauer,Denmark,AGF,CM,19,55
Lewis Shipley,England,Accrington,CB,19,55
Lewis Simper,England,Cambridge Utd,CDM,22,55
Germanpreet Singh,India,Jamshedpur FC,CDM,27,55
Jitendra Singh,India,Jamshedpur FC,CDM,22,55
Jesper Skau,Norway,Odds BK,CM,20,55
Collin Smith,United States,FC Dallas,RB,19,55
Jakub Snopczyński,Poland,Radomiak Radom,CAM,18,55
Ramzi Solan,Saudi Arabia,Damac FC,RB,25,55
Jason Sraha,England,Shrewsbury,CB,20,55
Sanjeev Stalin,India,Mumbai City FC,LB,22,55
Alexandru Stan,Romania,FC Rapid 1923,ST,18,55
Mihailo Stevanovic,Switzerland,FC St. Gallen,CM,21,55
Jonah Sticker,Germany,Viktoria Köln,RWB,19,55
Leon Suzuki,Japan,Braunschweig,CB,19,55
Kian Taylor,England,Preston,CB,18,55
Jano ter Horst,Germany,Preußen Münster,CB,21,55
Gideon Tetteh,Republic of Ireland,Shamrock Rovers,RW,18,55
Dylan Teves,United States,Sounders FC,RM,23,55
Oliver Tipton,England,Notts County,CB,20,55
Krzysztof Toporkiewicz,Poland,Jagiellonia,ST,21,55
Filip Trpcevski,North Macedonia,BK Häcken,ST,20,55
Cem Üstündag,Austria,WSG Tirol,CM,22,55
Muhammed Uvais,India,Jamshedpur FC,LB,25,55
Oskar van Hattum,New Zealand,Well. Phoenix,ST,21,55
Diego van Oorschot,Holland,Heracles Almelo,ST,18,55
Edwin Sydney Vanspaul,India,East Bengal,CDM,31,55
Jakob Vester,Denmark,Viborg FF,CM,18,55
Caylan Vickers,England,Reading,CAM,18,55
Eyram Viegbe,France,Valenciennes FC,CDM,19,55
Gino Vivi,Costa Rica,LA Galaxy,CAM,22,55
Luke Wade-Slater,Republic of Ireland,Drogheda United,RM,25,55
Wang Xianjun,China PR,Dalian Pro,CB,23,55
Wang Jiahao,China PR,Nantong Zhiyun FC,RW,23,55
Christie Ward,England,Wycombe,CAM,19,55
Adam Wells,Republic of Ireland,UCD AFC,CB,20,55
Viktor Widell,Sweden,IF Elfsborg,RB,21,55
Rasmus Wikström,Sweden,Mjällby AIF,CB,22,55
Yan Zhiyu,China PR,Changchun Yatai,RWB,30,55
Yao Daogang,China PR,Meizhou Hakka,CDM,26,55
Besfort Zeneli,Sweden,IF Elfsborg,LW,20,55
Zhang Huachen,China PR,Shanghai Port,CM,25,55
Zhao Jianfei,China PR,Shandong Taishan,CB,24,55
Rami Zouaoui,Tunisia,Braunschweig,CAM,19,55
Halik Abraham,China PR,Shanghai Port,CM,22,54
Aaron Akalé,France,FC Basel 1893,ST,18,54
Sultan Al Akouz,Saudi Arabia,Al Wehda,LM,22,54
Dhari Al Enazi,Saudi Arabia,Damac FC,LB,23,54
Adeeb Al Haizan,Saudi Arabia,Al Tai,ST,22,54
Ziyad Al Jari,Saudi Arabia,Al Fateh,CB,21,54
Hassan Al Slais,Saudi Arabia,Al Fateh,ST,23,54
Kaden Amaniampong,Germany,Viktoria Köln,CB,19,54
Dirk Asare,Belgium,KV Mechelen,CDM,19,54
Leon Avdullahu,Switzerland,FC Basel 1893,CDM,19,54
Daniel Babb,Republic of Ireland,UCD AFC,RB,17,54
Ahmed Bahusayn,Saudi Arabia,Al Taawoun,CM,22,54
Brendan Barr,Republic of Ireland,UCD AFC,CDM,22,54
Emil Benny,India,Jamshedpur FC,CAM,23,54
Kevin Berkoe,England,Salford City,LB,22,54
Eirik Blikstad,Norway,Strømsgodset IF,CB,19,54
Magnus Bøttker,Denmark,Silkeborg IF,ST,19,54
Matthew Bozinovski,North Macedonia,Melb. Victory,CB,22,54
Jed Brown,England,Crawley Town,LM,24,54
Cosmin Bucuroiu,Romania,FC Hermannstadt,RW,20,54
Livan Burcu,Germany,SV Sandhausen,CM,19,54
Tobías Cabrera,Bolivia,O. Petrolero,ST,18,54
Cai Mingmin,China PR,Cangzhou FC,CM,22,54
Max Caputo,Australia,Melbourne City,ST,18,54
Sauvik Chakrabarti,India,East Bengal,CDM,32,54
Josh Chambers,England,Gillingham,CAM,19,54
Chen Jie,China PR,Meizhou Hakka,CM,33,54
Chen Keqiang,China PR,Henan SSLM FC,LM,24,54
Ajay Chhetri,India,East Bengal,CDM,24,54
Ayush Chhetri,India,FC Goa,CDM,20,54
Makan Winkle Chothe,India,Hyderabad FC,RW,23,54
Éanna Clancy,Republic of Ireland,UCD AFC,CB,19,54
Chay Cooper,England,Colchester,CAM,21,54
Joel Cotterill,Wales,Stockport,CM,18,54
Kieran Cruise,Republic of Ireland,Shamrock Rovers,LWB,19,54
Rohit Danu,India,Bengaluru FC,LW,21,54
Sourav Das,India,Chennaiyin FC,CDM,27,54
Malik Deme,Switzerland,BSC Young Boys,RM,18,54
Mark Dignam,Republic of Ireland,UCD AFC,RM,24,54
Matthias Dollinger,Austria,Austria Klagenfurt,LB,18,54
Sam Durrant,England,Dundalk,CAM,21,54
Michael Edwards,United States,Colorado Rapids,CB,22,54
Ilias El Hari,Belgium,KVC Westerlo,RW,18,54
Nassim Elouarti,Germany,Wehen Wiesbaden,CDM,18,54
Florian Engelhardt,Germany,Viktoria Köln,CDM,20,54
Bento Estrela,United States,Red Bulls,CM,17,54
Fei Ernanduo,China PR,Shanghai Shenhua,ST,22,54
Marcus Ferkranus,United States,LA Galaxy,CB,20,54
Sam Gale,England,Gillingham,CB,19,54
Saviour Gama,India,FC Goa,LB,26,54
Carlos Gavilán,Paraguay,Gral. Caballero,CAM,20,54
Parthib Gogoi,India,NorthEast United,RW,20,54
Sarthak Golui,India,Chennaiyin FC,RB,25,54
Joe Gubbins,England,Accrington,CB,22,54
Gideon Guzy,Germany,SC Verl,LB,20,54
Ramon Guzzo,Switzerland,FC Zürich,CB,19,54
Michael Halliday,United States,Orlando City,RB,20,54
Han Dong,China PR,Henan SSLM FC,LM,22,54
Simen Vatne Haram,Norway,Aalesunds FK,CB,18,54
Finn Hetzsch,Germany,FC Erzgebirge Aue,LB,19,54
Donal Higgins,Republic of Ireland,UCD AFC,CM,22,54
Lucas Høgsberg,Denmark,FC Nordsjælland,RB,17,54
Matúš Holíček,Slovakia,Crewe Alexandra,LM,18,54
Corey Hollman,Australia,Sydney FC,CM,20,54
Stian Aarønes Holte,Norway,Aalesunds FK,CB,20,54
Joshua Honohan,Republic of Ireland,Cork City,CB,22,54
Hu Jing,China PR,Rongcheng FC,CB,24,54
Bradley Ihionvien,England,Colchester,ST,19,54
Brooklyn Ilunga,England,MK Dons,LWB,19,54
Mustapha Isah,Nigeria,Randers FC,RM,19,54
Luca Jaquenoud,Switzerland,Yverdon Sport FC,RB,21,54
Jiang Zilei,China PR,Nantong Zhiyun FC,RM,26,54
Zak Johnson,England,Sunderland,CB,19,54
Jarlath Jones,Republic of Ireland,Drogheda United,LB,21,54
Rory Jordan,Australia,Newcastle Jets,LM,23,54
Wiktor Kamiński,Poland,Warta Poznań,ST,19,54
Hamzad Kargbo,England,QPR,ST,21,54
Noah Karunaratne,New Zealand,Well. Phoenix,LW,20,54
Prasanth Karuthadathkuni,India,Punjab FC,RM,26,54
Cian Kavanagh,Republic of Ireland,Derry City,ST,20,54
Lukas Kelly-Heald,New Zealand,Well. Phoenix,LB,18,54
Imran Khan,India,Jamshedpur FC,LM,28,54
David Kubatta,Germany,Viktoria Köln,CB,19,54
Ajith Kumar,India,Chennaiyin FC,RB,26,54
Anton Kurochkin,Sweden,Varbergs BoIS,LM,20,54
Krzysztof Kurowski,Poland,Śląsk Wrocław,LB,17,54
Miłosz Kurowski,Poland,Śląsk Wrocław,CAM,19,54
Provat Lakra,India,Jamshedpur FC,RB,26,54
Dinpuia,India,Jamshedpur FC,CB,26,54
Mateusz Lechowicz,Poland,Warta Poznań,CB,17,54
Lee Kang Han,Korea Republic,Gangwon FC,RWB,23,54
Liang Shaowen,China PR,Beijing Guoan,CB,21,54
Andréa Librici,Belgium,STVV,CM,18,54
Alexander Hedén Lindskog,Sweden,Degerfors IF,CB,19,54
Ahmed Longmire,United States,Nashville SC,CB,23,54
Lü Zhuoyi,China PR,Dalian Pro,LB,22,54
Jack Lynn,United States,Orlando City,ST,23,54
Matty Macarthur,Australia,Gillingham,LM,19,54
Jithin MS,India,NorthEast United,LW,25,54
Mohammed Mahzari,Saudi Arabia,Ettifaq FC,CM,21,54
Saurav Mandal,India,Kerala Blasters,RM,22,54
Ninthoi Meetei,India,Chennaiyin FC,RM,22,54
Jack Milne,Scotland,Aberdeen,CDM,20,54
Zach Mitchell,England,Colchester,CB,18,54
Liam Möller,Finland,HJK Helsinki,CAM,18,54
Isaac Moore,England,Coventry City,CM,17,54
Claudiu Negoescu,Romania,UTA Arad,RM,20,54
Ronny Nelson,England,Colchester,CB,20,54
Kitt Nelson,England,Preston,CAM,18,54
Danny Norris,Republic of Ireland,UCD AFC,LM,20,54
Connor O'Brien,England,Accrington,RB,19,54
Taulant Parallangaj,Sweden,Halmstads BK,CB,21,54
Niclas Holm Pedersen,Denmark,Silkeborg IF,LM,21,54
Jonathan Perez,Mexico,LA Galaxy,RM,20,54
Aaron Pickles,England,Accrington,CB,18,54
Jakub Pochcioł,Poland,Górnik Zabrze,CDM,20,54
Robert Marian Popescu,Romania,FC Voluntari,LM,20,54
Oscar Priestman,Australia,WS Wanderers,CDM,20,54
Mobashir Rahman,India,East Bengal,CM,25,54
Amey Ranawade,India,Odisha FC,RB,25,54
Jayesh Rane,India,Mumbai City FC,CM,30,54
Sumit Rathi,India,ATK Mohun Bagan,LB,22,54
Frederik Recktenwald,Germany,Saarbrücken,RWB,20,54
Miguel Reichmuth,Switzerland,FC Zürich,CM,19,54
Wilfredo Rivera,Puerto Rico,Orlando City,LM,19,54
Alessio Rizza,Italy,Cittadella,LB,20,54
Jannik Robatsch,Austria,Austria Klagenfurt,CB,18,54
Rochharzela,India,NorthEast United,RW,25,54
Noah Rupp,Switzerland,FC Luzern,CM,20,54
Mansour Saeed,United Arab Emirates,Al Ain FC,LB,22,54
Alex Saji,India,Hyderabad FC,RB,23,54
Samuel Sandoval,Bolivia,O. Petrolero,LM,20,54
Zac Sapsford,Australia,WS Wanderers,ST,21,54
Josh Seary,Republic of Ireland,Preston,RWB,19,54
Johannes Selvén,Sweden,Odense BK,RM,20,54
Parag Shrivas,India,Bengaluru FC,CB,26,54
Hussain Sibyani,Saudi Arabia,Al Shabab,LB,22,54
Huidrom Singh,India,Kerala Blasters,LB,24,54
Jiteshwor Singh,India,Chennaiyin FC,CDM,21,54
Bidyashagar Singh,India,Kerala Blasters,ST,25,54
Amarjit Singh Kiyam,India,Punjab FC,CM,22,54
Melvin Sjöland,Sweden,Halmstads BK,CM,21,54
Bailey Sloane,England,Accrington,LB,20,54
Scott Smith,Wales,Wigan Athletic,CM,22,54
Harrison Sodje,England,Leyton Orient,LB,19,54
Michael Soosairaj,India,Odisha FC,LW,28,54
Răzvan Andrei Tănasă,Romania,SC Oțelul Galați,CM,20,54
Joe Taylor,Wales,Colchester,ST,20,54
Sam Taylor,England,Tranmere Rovers,ST,18,54
Saliou Thioune,Italy,Yverdon Sport FC,CAM,19,54
Redeem Tlang,India,NorthEast United,RW,28,54
Karlo Tomašec,Croatia,Univ. Craiova,CB,19,54
Christian Torres,Mexico,LAFC,RW,19,54
Musa Toure,Australia,Adelaide United,RM,17,54
Jacob Trenskow,Denmark,Kalmar FF,RW,22,54
Isak Vanlalruatfela,India,Odisha FC,LW,22,54
Fabio Vargas,Bolivia,O. Petrolero,RB,19,54
Roberto Voican,Romania,FC Voluntari,CM,20,54
Yannick Vötter,Austria,WSG Tirol,ST,18,54
Tomasz Walczak,Poland,Raków,ST,18,54
Wei Lai,China PR,Nantong Zhiyun FC,CB,26,54
Fabian Wilfinger,Austria,TSV Hartberg,CM,20,54
Jay Williams,England,Crawley Town,CB,23,54
Josh Woods,England,Accrington,ST,23,54
Wu Wei,China PR,Dalian Pro,CM,26,54
Laurence Wyke,England,Nashville SC,CB,27,54
Yang Zihao,China PR,Tianjin JMT FC,LWB,22,54
Ablikim Abdusalam,China PR,Zhejiang Pro,LM,20,53
Babajide Adeeko,Republic of Ireland,Wigan Athletic,CM,20,53
Ayush Adhikari,India,Chennaiyin FC,CM,23,53
Malek Al Darwish,Saudi Arabia,Al Khaleej,RM,24,53
Turki Al Mutairi,Saudi Arabia,Al Hazem,ST,22,53
Othman Al Othman,Saudi Arabia,Al Fateh,RW,20,53
Faisal Ali,India,Bengaluru FC,RW,23,53
Sebastian Anderson,United States,Colorado Rapids,RB,21,53
Jamie Andrews,England,Grimsby Town,CM,21,53
Mayowa Animasahun,Republic of Ireland,Dundalk,CB,20,53
Joel Anker,England,MK Dons,CAM,18,53
David Bendrik,Sweden,Varbergs BoIS,RWB,20,53
Xavier Benjamin,England,Cardiff City,CB,19,53
Kenan Bilalovic,Sweden,IFK Värnamo,CAM,18,53
Love Björnson,Sweden,Mjällby AIF,ST,19,53
Nathanael Blair,Australia,WS Wanderers,ST,19,53
Alexandru Blidar,Romania,FCU 1948,RM,20,53
Oskar Boesen,Denmark,Silkeborg IF,CM,18,53
Stephen Bolma,Ghana,IFK Norrköping,CM,18,53
Gaurav Bora,India,NorthEast United,CB,25,53
Cian Byrne,Republic of Ireland,Bohemian FC,CB,20,53
Sean Carey,Republic of Ireland,Shamrock Rovers,RWB,19,53
Ludvig Carlius,Sweden,Mjällby AIF,CM,22,53
Chen Chunxin,China PR,Qingdao Hainiu,CM,25,53
Luca de Meester,Germany,Viktoria Köln,RM,19,53
Aidan Denholm,Scotland,Hearts,CM,19,53
Noureddine El Bahhar,Egypt,Al Ittihad,CAM,19,53
Cameron Elliott,Scotland,Dundalk,ST,24,53
David Ezeh,Finland,HJK Helsinki,ST,17,53
Kingslee Fernandes,India,Punjab FC,CM,25,53
Emmanuel Fernandez,England,Peterborough,CB,21,53
Julian Gaines,United States,LAFC,RB,20,53
Antoine Hainaut,France,Parma,CM,21,53
Josh Hallard,England,AFC Wimbledon,LB,19,53
Bret Halsey,United States,FC Cincinnati,RB,23,53
Emmanuel Harvest,England,Leyton Orient,CDM,19,53
Isaac Hughes,New Zealand,Well. Phoenix,CB,19,53
Andrin Hunziker,Switzerland,FC Basel 1893,ST,20,53
Oliwier Hyla,Poland,Cracovia,RWB,19,53
Tega Ikoba,United States,Portland Timbers,ST,20,53
Rony Jansson,Finland,Kalmar FF,CB,19,53
Jeon Sung Jin,Korea Republic,Jeju United,LWB,22,53
Ji Shengpan,China PR,Zhejiang Pro,RM,23,53
Alexandru Jipa,Romania,FC Hermannstadt,RW,22,53
Frank Junior Adjei,Ghana,IFK Värnamo,LM,19,53
Florian Kastrati,England,Crawley Town,RM,21,53
Johan Kenneryd,Sweden,IFK Värnamo,CB,19,53
Evan Khouri,England,Grimsby Town,CM,20,53
Kim Kyu Pyo,Korea Republic,Pohang Steelers,CM,24,53
Kim Ki Hwan,Korea Republic,Gangwon FC,LWB,23,53
Pontus Kindberg,Sweden,IFK Värnamo,LB,20,53
Emil Kischka,Germany,Braunschweig,CM,21,53
Luca Kjerrumgaard,Denmark,Stabæk Fotball,ST,20,53
Olaf Korczakowski,Poland,Pogoń Szczecin,LM,19,53
Kacper Kucharczyk,Poland,Korona Kielce,RM,17,53
Jan Łabędzki,Poland,ŁKS Łódź,CM,17,53
Daniel Lalhlimpuia,India,Punjab FC,ST,26,53
Jerry Lawrence,England,Bristol Rovers,CM,18,53
Michael Leddy,Republic of Ireland,Drogheda United,ST,19,53
Antonio Leone,Mexico,LAFC,CB,19,53
Lim Hyeong Jin,Korea Republic,Incheon United,CB,22,53
Heiber Linares,Venezuela,Puerto Cabello,CB,23,53
Piotr Liszewski,Poland,Piast Gliwice,RB,18,53
Liu Le,China PR,Dalian Pro,LB,34,53
Liu Jiahui,China PR,Henan SSLM FC,CB,22,53
Liu Yixin,China PR,Henan SSLM FC,LB,22,53
Adam MacKinnon,Scotland,Ross County,CM,20,53
Glenn McConnell,Republic of Ireland,Cambridge Utd,CAM,18,53
Evan McLaughlin,Republic of Ireland,Derry City,CAM,21,53
Teddy Mfuni,England,Oxford United,CB,19,53
Manoj Mohammad,India,Hyderabad FC,LB,24,53
Devendra Murgaonkar,India,FC Goa,ST,24,53
Muhammed Nemil,India,FC Goa,CAM,21,53
Sebastian Nilsson,Sweden,Kalmar FF,LB,20,53
Conan Noonan,Republic of Ireland,Shamrock Rovers,ST,20,53
Finn O'Boyle,England,Harrogate Town,LM,18,53
Matthew O'Brien,Republic of Ireland,Drogheda United,CAM,20,53
Harvey O'Brien,Republic of Ireland,UCD AFC,CB,22,53
Charlie O'Connell,England,Peterborough,CB,20,53
Morten Olsen,Denmark,Hvidovre IF,ST,25,53
Ike Orji,England,Gillingham,RB,20,53
Igor Orlikowski,Poland,Zagłębie Lubin,RB,17,53
Marius Papuga,Denmark,Hvidovre IF,CM,18,53
Park Yong Hui,Korea Republic,Daegu FC,RW,21,53
Arthur Piedfort,Belgium,KVC Westerlo,CB,18,53
Kayden Pierre,United States,Sporting KC,RB,20,53
Qian Yumiao,China PR,Tianjin JMT FC,RWB,25,53
Fabricio Quaglio,Bolivia,The Strongest,LM,20,53
Abdul Rabeeh,India,Hyderabad FC,RW,22,53
Kiban Rai,Wales,Newport County,CAM,18,53
Mohamad Rakip,India,East Bengal,RB,23,53
Paul Ramfangzauva,India,Odisha FC,CDM,24,53
Hayden Sargis,United States,D.C. United,CB,21,53
Phoenix Scholtz,Northern Ireland,MK Dons,RWB,18,53
Jordan Semedo,France,Cercle Brugge,LB,20,53
Sha Yibo,China PR,Qingdao Hainiu,CB,32,53
Shin Sang Eun,Korea Republic,Daejeon Citizen,RW,24,53
Anton Sorenson,United States,Philadelphia,LB,20,53
Steven Sserwadda,Uganda,Red Bulls,CM,21,53
Ludvig Svanberg,Sweden,Hammarby IF,CB,20,53
Tang Chuang,China PR,Rongcheng FC,ST,27,53
Tao Qianglong,China PR,Wuhan 3 Towns,RM,21,53
Sahil Tavora,India,Hyderabad FC,CDM,27,53
Komal Thatal,India,Jamshedpur FC,LM,23,53
Keegan Tingey,United States,SJ Earthquakes,CB,23,53
Bartosz Tomaszewski,Poland,Lech Poznań,CB,18,53
Emre Topçu,Turkey,Drogheda United,CM,18,53
Jackson Travis,United States,Colorado Rapids,LB,19,53
Isaac Vanmalsawma,India,Odisha FC,CM,27,53
Adam Verdon,Republic of Ireland,UCD AFC,CM,21,53
Wang Chu,China PR,Rongcheng FC,CAM,32,53
Wang Dongsheng,China PR,Zhejiang Pro,LB,26,53
Brad Williams,England,Harrogate Town,RM,19,53
Thomas Williams,United States,Orlando City,CB,19,53
Cameron Windust,Australia,Central Coast,CB,22,53
Zhou Xin,China PR,Shenzhen FC,CB,25,53
Peter Abimbola,England,Northampton,CM,19,52
Meshal Al Alaeli,Saudi Arabia,Ettifaq FC,LB,19,52
Azzam Al Bishi,Saudi Arabia,Al Wehda,ST,21,52
Nasser Al Bishi,Saudi Arabia,Al Shabab,CAM,21,52
Rakan Al Dawsari,Saudi Arabia,Al Raed,ST,21,52
Ali Al Jassim,Saudi Arabia,Al Fateh,RW,22,52
Nawaf Al Rashoudi,Saudi Arabia,Al Taawoun,CAM,23,52
Marwan Al Sahafi,Saudi Arabia,Al Ittihad,RM,19,52
Ali Al Shaefi,Saudi Arabia,Al Khaleej,LB,21,52
Mathias Andreasen,Denmark,Hvidovre IF,ST,20,52
Hendry Antonay,India,Odisha FC,RB,23,52
Gbemi Arubi,Republic of Ireland,Shelbourne,ST,19,52
Sulaiman Asiri,Saudi Arabia,Abha Club,RB,22,52
Leon Augustine,India,Punjab FC,RM,25,52
Josh Bailey,England,Shrewsbury,LWB,18,52
Jake Batty,England,Blackburn Rovers,LB,18,52
Namgyal Bhutia,India,Bengaluru FC,RWB,24,52
Gabriel Billington,England,Exeter City,CB,19,52
Owen Bray,England,Barrow,CM,20,52
Andy Breuer,Germany,Saarbrücken,CM,18,52
Marcel Campbell,England,AFC Wimbledon,CAM,19,52
Pontus Carlsson,Sweden,Halmstads BK,CM,19,52
Matty Carson,England,Reading,LB,20,52
Jack Carter,England,Forest Green,RB,18,52
Edward Caspers,Australia,Macarthur FC,CM,20,52
Jackson Conway,United States,Atlanta United,ST,21,52
Warren Davis,Republic of Ireland,Drogheda United,LM,18,52
Ignacy Dawid,Poland,Widzew Łódź,CDM,20,52
Samba Lélé Diba,Senegal,Servette FC,CM,19,52
Josh Dockerill,England,Portsmouth,CDM,18,52
